
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::1]:57867            [::1]:5173             ESTABLISHED     10624
  TCP    [::1]:59021            [::1]:5432             ESTABLISHED     10672
  TCP    [::1]:60192            [::1]:5432             ESTABLISHED     10672
  TCP    [::1]:60196            [::1]:5432             ESTABLISHED     10672
  TCP    [::1]:60662            [::1]:5173             ESTABLISHED     10624
  TCP    [::1]:61363            [::1]:5173             ESTABLISHED     10624
  TCP    [::1]:62778            [::1]:5173             ESTABLISHED     19596
  TCP    [::1]:63824            [::1]:5432             ESTABLISHED     10672
  TCP    [::1]:64126            [::1]:5173             ESTABLISHED     10624
  UDP    0.0.0.0:500            *:*                                    4840
  UDP    0.0.0.0:4500           *:*                                    4840
  UDP    0.0.0.0:5050           *:*                                    3360
  UDP    0.0.0.0:5353           *:*                                    14464
  UDP    0.0.0.0:5353           *:*                                    18268
  UDP    0.0.0.0:5353           *:*                                    18380
  UDP    0.0.0.0:5353           *:*                                    19596
  UDP    0.0.0.0:5353           *:*                                    18380
  UDP    0.0.0.0:5353           *:*                                    14464
  UDP    0.0.0.0:5353           *:*                                    29668
  UDP    0.0.0.0:5353           *:*                                    1804
  UDP    0.0.0.0:5353           *:*                                    29668
  UDP    0.0.0.0:5353           *:*                                    18268
  UDP    0.0.0.0:5353           *:*                                    19596
  UDP    0.0.0.0:5355           *:*                                    1804
  UDP    0.0.0.0:27036          *:*                                    11644
  UDP    0.0.0.0:50462          142.251.39.234:443                     10624
  UDP    0.0.0.0:51421          *:*                                    29668
  UDP    0.0.0.0:51422          *:*                                    29668
  UDP    0.0.0.0:51486          *:*                                    1804
  UDP    0.0.0.0:52163          *:*                                    1804
  UDP    0.0.0.0:57101          *:*                                    1804
  UDP    0.0.0.0:59561          *:*                                    8728
  UDP    0.0.0.0:59584          *:*                                    8728
  UDP    0.0.0.0:59585          *:*                                    8728
  UDP    0.0.0.0:59586          *:*                                    8728
  UDP    0.0.0.0:62550          *:*                                    1804
  UDP    0.0.0.0:62910          *:*                                    1804
  UDP    0.0.0.0:63201          172.64.146.215:443                     29668
  UDP    127.0.0.1:1900         *:*                                    20316
  UDP    127.0.0.1:49664        127.0.0.1:49664                        4940
  UDP    127.0.0.1:64820        *:*                                    20316
  UDP    192.168.178.152:137    *:*                                    4
  UDP    192.168.178.152:138    *:*                                    4
  UDP    192.168.178.152:1900   *:*                                    20316
  UDP    192.168.178.152:27036  *:*                                    11644
  UDP    192.168.178.152:64819  *:*                                    20316
  UDP    [::]:500               *:*                                    4840
  UDP    [::]:4500              *:*                                    4840
  UDP    [::]:5353              *:*                                    14464
  UDP    [::]:5353              *:*                                    18268
  UDP    [::]:5353              *:*                                    1804
  UDP    [::]:5353              *:*                                    29668
  UDP    [::]:5353              *:*                                    19596
  UDP    [::]:5353              *:*                                    18380
  UDP    [::]:5355              *:*                                    1804
  UDP    [::]:51422             *:*                                    29668
  UDP    [::]:51486             *:*                                    1804
  UDP    [::]:52163             *:*                                    1804
  UDP    [::]:57101             *:*                                    1804
  UDP    [::]:59561             *:*                                    8728
  UDP    [::]:59584             *:*                                    8728
  UDP    [::]:59585             *:*                                    8728
  UDP    [::]:59586             *:*                                    8728
  UDP    [::]:62550             *:*                                    1804
  UDP    [::]:62910             *:*                                    1804
  UDP    [::1]:1900             *:*                                    20316
  UDP    [::1]:64818            *:*                                    20316
  UDP    [fe80::c450:f9f:707d:43bd%17]:1900  *:*                                    20316
  UDP    [fe80::c450:f9f:707d:43bd%17]:64817  *:*                                    20316
